state,year,frate,beertax,mlda,jaild,comserd,vmiles,unrate,pop
AL,1982,2.12836,1.5393795,19,0,0,7233.8872,14.4,3942002.3
AL,1983,2.34848,1.7889907,19,0,0,7836.3477,13.7,3960008
AL,1984,2.3364301,1.7142856,19,0,0,8262.9902,11.1,3988991.8
AL,1985,2.19348,1.6525424,19,0,0,8726.917,8.8999996,4021007.8
AL,1986,2.6691399,1.609907,21,0,0,8952.8535,9.8000002,4049993.8
AL,1987,2.71859,1.5599999,21,0,0,9166.3018,7.8000002,4082999
AL,1988,2.4939101,1.5014436,21,0,0,9674.3232,7.1999998,4101992.3
AZ,1982,2.49914,.21479714,19,1,1,6810.1567,9.8999996,2896996.5
AZ,1983,2.26738,.20642203,19,1,1,6587.4946,9.1000004,2977004.3
AZ,1984,2.8287799,.29670331,19,1,1,6709.9702,5,3071995.8
AZ,1985,2.8020101,.38135594,21,1,1,6771.2627,6.5,3186998
AZ,1986,3.0710599,.37151703,21,1,1,8129.0078,6.9000001,3278998
AZ,1987,2.7672801,.36000001,21,1,1,9370.6543,6.1999998,3385996.3
AZ,1988,2.7056501,.34648702,21,1,1,9815.7207,6.3000002,3488995
AR,1982,2.3840501,.65035802,21,0,0,7208.5005,9.8000002,2306998.5
AR,1983,2.3957,.67545873,21,0,0,7175.917,10.1,2324999
AR,1984,2.23785,.59890109,21,0,0,7084.8198,8.8999996,2346001.8
AR,1985,2.26367,.57733053,21,0,0,7253.918,8.6999998,2359001
AR,1986,2.5432301,.56243551,21,0,0,7468.999,8.6999998,2371000.5
AR,1987,2.6758802,.54500002,21,0,0,7665.8306,8.1000004,2387999.5
AR,1988,2.5469699,.52454287,21,0,0,8024.6255,7.6999998,2395002.8
CA,1982,1.8619399,.10739857,21,0,0,6858.6768,9.8999996,24785976
CA,1983,1.8067199,.10321102,21,0,0,7216.2915,9.6999998,25311062
CA,1984,1.94611,.0989011,21,0,0,7619.1758,7.8000002,25795048
CA,1985,1.8812801,.095338985,21,0,0,7874.0669,7.1999998,26365028
CA,1986,1.94548,.092879258,21,0,0,8034.9102,6.6999998,27001048
CA,1987,1.9896599,.090000004,21,0,0,8180.6333,5.8000002,27663018
CA,1988,1.9036499,.086621754,21,,,8531.9902,5.3000002,28314028
CO,1982,2.17448,.21479714,21,0,1,7742.8418,7.6999998,3071998.8
CO,1983,2.05144,.20642203,21,0,1,7656.063,6.5999999,3149007.5
CO,1984,1.90596,.1978022,21,0,1,7707.8525,5.5999999,3189993.5
CO,1985,1.7920099,.19067797,21,0,1,8092.2095,5.9000001,3231008.8
CO,1986,1.8463,.18575852,21,0,1,8131.3745,7.4000001,3265991.5
CO,1987,1.79308,.18000001,21,0,1,8182.0278,7.6999998,3296004.5
CO,1988,1.5056,.17324351,21,0,1,8380.7686,6.4000001,3301009.8
CT,1982,1.64695,.22434367,18,0,0,6440.0537,6.9000001,3126992.5
CT,1983,1.3949001,.23356308,19,0,0,6570.043,6,3140010
CT,1984,1.4865299,.24801099,20,0,0,6680.1929,4.5999999,3154998.8
CT,1985,1.4114701,.2390784,20,1,1,6979.2148,4.9000001,3173996
CT,1986,1.40933,.23291023,21,1,1,7661.7446,3.8,3193006.5
CT,1987,1.39832,.22569001,21,1,1,8338.5342,3.3,3210996
